Genotype_holo,TempC_holo,Origin_holo,Color_holo,Pgross_holo,Pgross_holo.log,abs_Rcorr,abs_Rcorr.log,FvFm,FvFm.log,AvgRedChannel_reanalysis,AvgRedChannel_reanalysis.log
TBE,18,VA,brown,0.096773392,-1.014244036,0.301928152,-0.520096391,0.603,-0.219682688,166.9,2.222456337
TBE,22,VA,brown,0.814623986,-0.089042807,0.932439028,-0.030379557,0.443,-0.353596274,166.9,2.222456337
TBF,18,VA,brown,0.068155649,-1.166498142,0.095707654,-1.019053329,0.634,-0.197910742,138.25,2.14066514
TBF,22,VA,brown,0.415671634,-0.381249611,0.770792583,-0.113062473,0.436666667,-0.359849959,138.25,2.14066514
TBG,18,VA,brown,0.05441228,-1.264303076,0.029463578,-1.530714514,0.593666667,-0.226457335,145.85,2.163906433
TBG,22,VA,brown,0.250466093,-0.601251059,0.234382589,-0.630074653,0.428333333,-0.368218127,145.85,2.163906433
TBI,18,VA,brown,0.643555239,-0.19141417,0.219979927,-0.657616946,0.591666667,-0.227922897,144.85,2.1609185
TBI,22,VA,brown,0.546472421,-0.262431751,0.58914617,-0.229776941,0.355333333,-0.44936405,144.85,2.1609185
TBL,18,VA,brown,0.297636527,-0.526313772,0.184394118,-0.734252937,0.613333333,-0.212303432,148.75,2.172456974
TBL,22,VA,brown,0.363702103,-0.439254188,0.386951608,-0.412343344,0.365333333,-0.437310701,148.75,2.172456974
TBM,18,VA,brown,0.01619166,-1.790708624,0.312528292,-0.505110662,0.435,-0.361510743,164.2,2.215373153
TBM,22,VA,brown,0.132449715,-0.877948972,0.754756109,-0.122193363,0.215666667,-0.666216973,164.2,2.215373153
TBN,18,VA,brown,0.114258062,-0.942113147,0.360569981,-0.443010433,0.471666667,-0.326364815,163.5,2.213517757
TBN,22,VA,brown,0.527537165,-0.277746939,0.440451415,-0.35610199,0.318666667,-0.496663362,163.5,2.213517757
TBO,18,VA,brown,0.211526352,-0.67463552,0.053422759,-1.272273687,0.523666667,-0.280945069,137.95,2.139721705
TBO,22,VA,brown,0.36541319,-0.43721578,0.368626803,-0.43341309,0.468666667,-0.329135934,137.95,2.139721705
TWA,18,VA,white,0.175607208,-0.755457662,0.465266238,-0.332298461,0.216333333,-0.664876559,211.9,2.326130957
TWA,22,VA,white,0.025496678,-1.593516401,1.059872262,0.025253526,0.263333333,-0.579494164,211.9,2.326130957
TWD,18,VA,white,-0.240884231,NA,0.678832438,-0.168237413,0.222333333,-0.652995421,208.65,2.319418389
TWD,22,VA,white,-0.218651846,NA,0.97807797,-0.009626523,0.252666667,-0.597452049,208.65,2.319418389
TWH,18,VA,white,-0.215919537,NA,0.465414395,-0.332160188,0.273333333,-0.563307403,213.5,2.329397879
TWH,22,VA,white,0.025128874,-1.599826971,0.887640381,-0.051762949,0.283333333,-0.54770233,213.5,2.329397879
TWI,18,VA,white,-0.054374273,NA,0.547094415,-0.261937719,0.565666667,-0.247439412,194.65,2.289254408
TWI,22,VA,white,0.154025913,-0.812406208,0.61205239,-0.213211402,0.226666667,-0.644612341,194.65,2.289254408
TWJ,18,VA,white,-0.302416932,NA,0.107267494,-0.969531865,0.551,-0.258848401,195.6,2.29136885
TWJ,22,VA,white,0.066405826,-1.177793817,0.371212219,-0.430377737,0.254,-0.595166283,195.6,2.29136885
TWK,18,VA,white,0.219129311,-0.659299527,0.498172666,-0.302620105,0.307666667,-0.511919553,207.4,2.316808752
TWK,22,VA,white,0.245886831,-0.60926473,0.646371926,-0.189517515,0.203333333,-0.69179142,207.4,2.316808752
TWL,18,VA,white,0.042238716,-1.374289292,0.413450241,-0.383576751,0.713,-0.14691047,192.85,2.285219643
TWL,22,VA,white,-0.090990426,NA,0.605414369,-0.217947276,0.346333333,-0.460505708,192.85,2.285219643
TWM,18,VA,white,0.117082587,-0.93150769,0.369929886,-0.431880581,0.468,-0.329754147,197.6,2.29578694
TWM,22,VA,white,0.129209504,-0.888705541,0.254412678,-0.594461251,0.350333333,-0.455518539,197.6,2.29578694
WBC,18,RI,brown,0.197950598,-0.703443182,0.429373722,-0.367164538,0.602333333,-0.220163102,152.45,2.183127429
WBC,22,RI,brown,1.008462632,0.00365981,0.806207614,-0.093553105,0.422666667,-0.374002001,152.45,2.183127429
WBF,18,RI,brown,0.194675047,-0.710689712,0.712960631,-0.146934451,0.525,-0.279840697,118.35,2.073168262
WBF,22,RI,brown,1.31145039,0.117751867,0.987391893,-0.005510443,0.380666667,-0.41945515,118.35,2.073168262
WBG,18,RI,brown,0.188894291,-0.723781168,0.523230198,-0.281307199,0.532,-0.274088368,167.35,2.223625717
WBG,22,RI,brown,1.129076943,0.052723539,1.422895855,0.153173114,0.395666667,-0.402670535,167.35,2.223625717
WBI,18,RI,brown,0.533261453,-0.273059808,0.424817467,-0.371797635,0.607666667,-0.216334586,137.25,2.137512353
WBI,22,RI,brown,0.421347437,-0.375359643,0.49166755,-0.308328454,0.303333333,-0.518079863,137.25,2.137512353
WBK,18,RI,brown,0.693351573,-0.159046495,0.62729889,-0.202525481,0.497,-0.303643611,160,2.204119983
WBK,22,RI,brown,0.488679677,-0.310975722,0.776045932,-0.110112573,0.402,-0.395773947,160,2.204119983
WBN,18,RI,brown,0.227428367,-0.643155367,0.531447082,-0.274539973,0.591666667,-0.227922897,133.85,2.126618376
WBN,22,RI,brown,0.648547689,-0.188058084,1.047890131,0.02031575,0.447,-0.349692477,133.85,2.126618376
WBO,18,RI,brown,0.221859487,-0.653921996,0.046667344,-1.330986916,0.489,-0.310691141,159.4,2.202488317
WBO,22,RI,brown,0.738649186,-0.131561776,0.688610684,-0.162026243,0.401666667,-0.396134207,159.4,2.202488317
WBP,18,RI,brown,0.127695048,-0.893825944,0.394949079,-0.403458895,0.509666667,-0.292713769,150.9,2.17868924
WBP,22,RI,brown,1.324297007,0.121985398,1.020643539,0.008874091,0.391333333,-0.407453158,150.9,2.17868924
WWB,18,RI,white,-0.090147368,NA,0.273695188,-0.562732838,0.554666667,-0.255967933,183.8,2.264345507
WWB,22,RI,white,0.031200704,-1.505835607,0.659681077,-0.180665974,0.3,-0.522878745,183.8,2.264345507
WWC,18,RI,white,0.099988463,-1.000050107,1.035763094,0.015260432,0.293333333,-0.532638583,171.3,2.233757363
WWC,22,RI,white,0.194629735,-0.710790809,1.905420041,0.279990729,0.196666667,-0.706269242,171.3,2.233757363
WWD,18,RI,white,0.246217556,-0.608680984,1.180497883,0.072065213,0.492666667,-0.30744682,197.55,2.295677034
WWD,22,RI,white,0.327116826,-0.485297116,2.036969935,0.308984619,0.164,-0.785156152,197.55,2.295677034
WWE,18,RI,white,0.023850274,-1.622506627,0.369083503,-0.432875366,0.455,-0.341988603,162.35,2.210452293
WWE,22,RI,white,0.483267341,-0.315812553,0.821638492,-0.085319223,0.284666667,-0.545663384,162.35,2.210452293
WWF,18,RI,white,-0.256596276,NA,0.519483468,-0.284428269,0.468333333,-0.329444931,184.4,2.265760917
WWF,22,RI,white,-0.171995111,NA,1.315325557,0.119033259,0.218666667,-0.660217415,184.4,2.265760917
WWI,18,RI,white,-0.702815832,NA,0.579621143,-0.236855781,0.273666667,-0.562778097,177.2,2.248463718
WWI,22,RI,white,0.052213893,-1.282213925,1.127382226,0.052071184,0.220666667,-0.656263265,177.2,2.248463718
WWJ,18,RI,white,0.149155208,-0.826361578,0.487166843,-0.312322278,0.434333333,-0.362176839,195.8,2.291812687
WWJ,22,RI,white,0.29355167,-0.532315445,1.064572582,0.027175277,0.247666667,-0.60613244,195.8,2.291812687
WWK,18,RI,white,0.011590581,-1.935894794,0.010678059,-1.971507684,0.318333333,-0.497117884,194.05,2.287913647
WWK,22,RI,white,0.150264847,-0.823142607,1.017853467,0.00768526,0.324,-0.48945499,194.05,2.287913647